262,"Pe  6","atk","Pe",6,163870,191620,""
263,"Pe  7","atk","Pe",7,163780,191960,""
264,"Pe  8","atk","Pe",8,163940,192230,""
265,"Ps  1","atk","Ps",1,165040,190660,""
266,"Ps  2","atk","Ps",2,165400,190240,""
267,"Ps  3","atk","Ps",3,165320,189640,""
268,"Ps  4","atk","Ps",4,165270,189380,""
269,"Ps  5","atk","Ps",5,165270,189170,""
270,"Ps  6","atk","Ps",6,165100,189170,""
271,"Ps  7","atk","Ps",7,164970,189120,""
272,"Ps  8","atk","Ps",8,165000,189950,""
273,"Ps  9","atk","Ps",9,165860,190530,""
274,"Ro  1","atk","Ro",1,172550,176040,""
275,"Ro  2","atk","Ro",2,172350,176100,""
276,"Ro  3","atk","Ro",3,172270,176350,""
277,"Ry  1","atk","Ry",1,165200,188220,""
278,"Ry  2","atk","Ry",2,,,""
279,"Ry  3","atk","Ry",3,165300,188150,""
280,"Ry  4","atk","Ry",4,165560,187870,""
281,"Ry  5","atk","Ry",5,165550,187700,""
282,"Ry  6","atk","Ry",6,165670,187300,""
283,"Ry  7","atk","Ry",7,165600,187040,""
284,"Ry  8","atk","Ry",8,165080,187630,""
285,"Ry  9","atk","Ry",9,165020,188070,""
286,"Sb  1","atk","Sb",1,167440,157230,""
287,"Sb  2","atk","Sb",2,166680,157030,""
288,"Te  1","atk","Te",1,171660,173740,""
289,"Te  2","atk","Te",2,171590,173380,""
290,"Te  3","atk","Te",3,171400,173220,""
291,"Te  4","atk","Te",4,171230,173040,""
292,"Te  5","atk","Te",5,170900,172860,""
293,"Te  6","atk","Te",6,170540,172590,""
294,"Te  7","atk","Te",7,170430,172720,""
295,"Te  8","atk","Te",8,170700,173230,""
296,"Te  9","atk","Te",9,171280,173620,""
297,"Th  1","atk","Th",1,169490,181200,""
298,"Th  2","atk","Th",2,169160,181270,""
299,"Th  3","atk","Th",3,169030,181480,""
300,"Th  4","atk","Th",4,168820,181850,""
301,"We  1","atk","We",1,169030,183540,""
302,"We  2","atk","We",2,169320,183180,""
303,"We  3","atk","We",3,169460,182960,""
304,"We  4","atk","We",4,169560,182800,""
305,"We  5","atk","We",5,168930,182500,""
306,"We  6","atk","We",6,168720,183480,""
307,"TPM  1","kb","TPM",1,157120,195480,""
308,"TPM  2","kb","TPM",2,157270,195440,""
309,"TPM  3","kb","TPM",3,157360,195030,""
310,"TPM  4","kb","TPM",4,157500,194780,""
311,"TPM  5","kb","TPM",5,157640,194590,""
312,"TPM  6","kb","TPM",6,157780,194460,""
313,"TPM  7","kb","TPM",7,157900,193910,""
314,"TPM  8","kb","TPM",8,158220,193510,""
315,"TPM  9","kb","TPM",9,,,""
316,"TPM 10","kb","TPM",10,,,""
317,"TPM 11","kb","TPM",11,,,""
318,"TPM 12","kb","TPM",12,,,""
319,"TPM 13","kb","TPM",13,158530,192850,""
320,"TPM 14","kb","TPM",14,158730,192350,""
321,"TPM 15","kb","TPM",15,159220,192260,""
322,"TPM 16","kb","TPM",16,159390,192200,""
323,"TPM 17","kb","TPM",17,159790,191640,""
324,"TPM 18","kb","TPM",18,159870,191360,""
325,"TPM 19","kb","TPM",19,160680,190170,""
326,"TPM 20","kb","TPM",20,161080,190140,""
327,"TPM 21","kb","TPM",21,161200,190030,""
328,"TPM 22","kb","TPM",22,161260,189580,""
329,"TPM 23","kb","TPM",23,161670,189620,""
330,"TPM 24","kb","TPM",24,161900,188920,""
331,"TPM 25","kb","TPM",25,161760,188360,""
